Year,Town Code,deathcity,2010 Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
2020,1,Andover,1317,18,1,32,0,51,3.87
2020,2,Ansonia,8148,349,764,147,0,1260,15.46
2020,3,Ashford,1903,32,0,36,0,68,3.57
2020,4,Avon,7389,244,16,44,0,304,4.11
2020,5,Barkhamsted,1589,0,6,23,0,29,1.83
2020,6,Beacon Falls,2509,0,4,46,0,50,1.99
2020,7,Berlin,8140,556,50,142,4,752,9.24
2020,8,Bethany,2044,0,2,13,0,15,0.73
2020,9,Bethel,7310,192,26,154,87,459,6.28
2020,10,Bethlehem,1575,24,0,9,0,33,2.1
2020,11,Bloomfield,9019,558,106,341,0,1005,11.14
2020,12,Bolton,2015,0,2,28,0,30,1.49
2020,13,Bozrah,1059,0,3,30,0,33,3.12
2020,14,Branford,13972,233,77,170,9,489,3.5
2020,15,Bridgeport,57012,6505,4353,900,19,11777,20.66
2020,16,Bridgewater,881,0,24,1,0,25,2.84
2020,17,Bristol,27011,1908,962,1124,0,3994,14.79
2020,18,Brookfield,6562,155,27,110,77,369,5.62
2020,19,Brooklyn,3235,189,9,65,0,263,8.13
2020,20,Burlington,3389,27,0,47,0,74,2.18
2020,21,Canaan,779,1,4,5,1,11,1.41
2020,22,Canterbury,2043,76,1,68,0,145,7.1
